SUID	cooc_method	interaction	interactionType	Node1	Node2	name	pval	qval	selected	shared.interaction	shared.name	weight
212044	correl_spearman	NA	copresence	Ftrad-Otu-00256	Ftrad-Otu-00187	Ftrad-Otu-00256->Ftrad-Otu-00187=correl_spearman	6.25660747921586e-06	6.25660747921586e-06	false	NA	Ftrad-Otu-00256->Ftrad-Otu-00187=correl_spearman	0.615773583379565
212047	correl_spearman	NA	mutualExclusion	BacV5-Otu-000180	Ftrad-Otu-00092	BacV5-Otu-000180->Ftrad-Otu-00092=correl_spearman	4.87701733747903e-05	4.87701733747903e-05	false	NA	BacV5-Otu-000180->Ftrad-Otu-00092=correl_spearman	4.877e-05
212050	correl_spearman	NA	copresence	BacV5-Otu-000041	BacV5-Otu-000043	BacV5-Otu-000041->BacV5-Otu-000043=correl_spearman	3.18589599146435e-12	3.18589599146435e-12	false	NA	BacV5-Otu-000041->BacV5-Otu-000043=correl_spearman	0
212053	correl_spearman	NA	mutualExclusion	BacV5-Otu-000153	Ftrad-Otu-00154	BacV5-Otu-000153->Ftrad-Otu-00154=correl_spearman	5.38685372508674e-06	5.38685372508674e-06	false	NA	BacV5-Otu-000153->Ftrad-Otu-00154=correl_spearman	5.39e-06
212055	correl_spearman	NA	copresence	BacV5-Otu-000180	BacV5-Otu-000064	BacV5-Otu-000180->BacV5-Otu-000064=correl_spearman	7.74282077062871e-05	7.74282077062871e-05	false	NA	BacV5-Otu-000180->BacV5-Otu-000064=correl_spearman	0.552481441622778
212058	correl_spearman	NA	mutualExclusion	Ftrad-Otu-00338	BacV5-Otu-000689	Ftrad-Otu-00338->BacV5-Otu-000689=correl_spearman	0.000855455789024351	0.000855455789024351	false	NA	Ftrad-Otu-00338->BacV5-Otu-000689=correl_spearman	-0.474301111189444
212061	correl_spearman	NA	mutualExclusion	Ftrad-Otu-00167	BacV5-Otu-000408	Ftrad-Otu-00167->BacV5-Otu-000408=correl_spearman	0.000382796154173581	0.000382796154173581	false	NA	Ftrad-Otu-00167->BacV5-Otu-000408=correl_spearman	-0.502909745593672
212064	correl_spearman	NA	mutualExclusion	Ftrad-Otu-00003	BacV5-Otu-000016	Ftrad-Otu-00003->BacV5-Otu-000016=correl_spearman	0.000381474519025149	0.000381474519025149	false	NA	Ftrad-Otu-00003->BacV5-Otu-000016=correl_spearman	-0.503026926448205
212067	correl_spearman	NA	copresence	BacV5-Otu-000149	BacV5-Otu-000098	BacV5-Otu-000149->BacV5-Otu-000098=correl_spearman	0.000196414020480207	0.000196414020480207	false	NA	BacV5-Otu-000149->BacV5-Otu-000098=correl_spearman	0.52467630873117
212070	correl_spearman	NA	copresence	BacV5-Otu-000289	Ftrad-Otu-00062	BacV5-Otu-000289->Ftrad-Otu-00062=correl_spearman	5.88415840435674e-05	5.88415840435674e-05	false	NA	BacV5-Otu-000289->Ftrad-Otu-00062=correl_spearman	5.884e-05
212073	correl_spearman	NA	mutualExclusion	Ftrad-Otu-00052	Ftrad-Otu-00064	Ftrad-Otu-00052->Ftrad-Otu-00064=correl_spearman	3.45116595301675e-08	3.45116595301675e-08	false	NA	Ftrad-Otu-00052->Ftrad-Otu-00064=correl_spearman	3e-08
212077	correl_spearman	NA	copresence	BacV5-Otu-000071	Ftrad-Otu-00154	BacV5-Otu-000071->Ftrad-Otu-00154=correl_spearman	5.71176288515218e-05	5.71176288515218e-05	false	NA	BacV5-Otu-000071->Ftrad-Otu-00154=correl_spearman	5.712e-05
212080	correl_spearman	NA	mutualExclusion	Ftrad-Otu-00006	Ftrad-Otu-00125	Ftrad-Otu-00006->Ftrad-Otu-00125=correl_spearman	2.33483360756459e-07	2.33483360756459e-07	false	NA	Ftrad-Otu-00006->Ftrad-Otu-00125=correl_spearman	2.3e-07
