SUID	cooc_method	interaction	interactionType	Node1	Node2	name	pval	qval	selected	shared.interaction	shared.name	weight
230366	correl_spearman	NA	copresence	BacV5-Otu-000183	BacV5-Otu-000219	BacV5-Otu-000183->BacV5-Otu-000219=correl_spearman	1.30635502415544e-11	1.30635502415544e-11	false	NA	BacV5-Otu-000183->BacV5-Otu-000219=correl_spearman	0
230369	correl_spearman	NA	copresence	BacV5-Otu-000097	BacV5-Otu-000203	BacV5-Otu-000097->BacV5-Otu-000203=correl_spearman	2.22044604925031e-16	2.22044604925031e-16	false	NA	BacV5-Otu-000097->BacV5-Otu-000203=correl_spearman	0
230372	correl_spearman	NA	copresence	BacV5-Otu-000149	BacV5-Otu-000098	BacV5-Otu-000149->BacV5-Otu-000098=correl_spearman	6.72436106796681e-10	6.72436106796681e-10	false	NA	BacV5-Otu-000149->BacV5-Otu-000098=correl_spearman	0.749006325176219
230378	correl_spearman	NA	mutualExclusion	BacV5-Otu-000437	Ftrad-Otu-00012	BacV5-Otu-000437->Ftrad-Otu-00012=correl_spearman	0.000514735461016769	0.000514735461016769	false	NA	BacV5-Otu-000437->Ftrad-Otu-00012=correl_spearman	0.00051474
230387	correl_spearman	NA	copresence	BacV5-Otu-000096	BacV5-Otu-000073	BacV5-Otu-000096->BacV5-Otu-000073=correl_spearman	2.47521447782617e-10	2.47521447782617e-10	false	NA	BacV5-Otu-000096->BacV5-Otu-000073=correl_spearman	0.759953105374692
230390	correl_spearman	NA	copresence	BacV5-Otu-000083	BacV5-Otu-000103	BacV5-Otu-000083->BacV5-Otu-000103=correl_spearman	9.88318138439581e-09	9.88318138439581e-09	false	NA	BacV5-Otu-000083->BacV5-Otu-000103=correl_spearman	1e-08
230392	correl_spearman	NA	copresence	BacV5-Otu-000658	Ftrad-Otu-00052	BacV5-Otu-000658->Ftrad-Otu-00052=correl_spearman	0	0	false	NA	BacV5-Otu-000658->Ftrad-Otu-00052=correl_spearman	0
230395	correl_spearman	NA	copresence	BacV5-Otu-000177	BacV5-Otu-000141	BacV5-Otu-000177->BacV5-Otu-000141=correl_spearman	1.90958360235527e-14	1.90958360235527e-14	false	NA	BacV5-Otu-000177->BacV5-Otu-000141=correl_spearman	0.83720219163898
230401	correl_spearman	NA	copresence	Otrad-Otu-00055	Otrad-Otu-00003	Otrad-Otu-00055->Otrad-Otu-00003=correl_spearman	0	0	false	NA	Otrad-Otu-00055->Otrad-Otu-00003=correl_spearman	0.881517660814408
230409	correl_spearman	NA	copresence	BacV5-Otu-000130	BacV5-Otu-000144	BacV5-Otu-000130->BacV5-Otu-000144=correl_spearman	8.97060203897126e-14	8.97060203897126e-14	false	NA	BacV5-Otu-000130->BacV5-Otu-000144=correl_spearman	0
