SUID	cooc_method	interaction	interactionType	Node1	Node2	name	pval	qval	selected	shared.interaction	shared.name	weight
169948	correl_spearman	NA	mutualExclusion	BacV5-Otu-000015	BacV5-Otu-000117	BacV5-Otu-000015->BacV5-Otu-000117=correl_spearman	7.38066149419403e-05	7.38066149419403e-05	false	NA	BacV5-Otu-000015->BacV5-Otu-000117=correl_spearman	7.381e-05
169951	correl_spearman	NA	mutualExclusion	Ftrad-Otu-00024	Ftrad-Otu-00002	Ftrad-Otu-00024->Ftrad-Otu-00002=correl_spearman	0.000396032831150084	0.000396032831150084	false	NA	Ftrad-Otu-00024->Ftrad-Otu-00002=correl_spearman	-0.513294032206074
169954	correl_spearman	NA	mutualExclusion	Ftrad-Otu-00210	BacV5-Otu-000126	Ftrad-Otu-00210->BacV5-Otu-000126=correl_spearman	2.64205415390073e-06	2.64205415390073e-06	false	NA	Ftrad-Otu-00210->BacV5-Otu-000126=correl_spearman	-0.646712999667416
169957	correl_spearman	NA	copresence	Ftrad-Otu-00325	BacV5-Otu-000229	Ftrad-Otu-00325->BacV5-Otu-000229=correl_spearman	1.21679611808645e-06	1.21679611808645e-06	false	NA	Ftrad-Otu-00325->BacV5-Otu-000229=correl_spearman	0.662213954491278
169960	correl_spearman	NA	mutualExclusion	BacV5-Otu-000609	BacV5-Otu-000197	BacV5-Otu-000609->BacV5-Otu-000197=correl_spearman	0.000166923039355504	0.000166923039355504	false	NA	BacV5-Otu-000609->BacV5-Otu-000197=correl_spearman	-0.541588363342496
169963	correl_spearman	NA	mutualExclusion	BacV5-Otu-000185	BacV5-Otu-000127	BacV5-Otu-000185->BacV5-Otu-000127=correl_spearman	0.000123871137021947	0.000123871137021947	false	NA	BacV5-Otu-000185->BacV5-Otu-000127=correl_spearman	-0.550729306308665
169966	correl_spearman	NA	copresence	BacV5-Otu-000561	BacV5-Otu-000012	BacV5-Otu-000561->BacV5-Otu-000012=correl_spearman	8.99786911645606e-11	8.99786911645606e-11	false	NA	BacV5-Otu-000561->BacV5-Otu-000012=correl_spearman	0.79245650512887
169969	correl_spearman	NA	mutualExclusion	Ftrad-Otu-00142	BacV5-Otu-000137	Ftrad-Otu-00142->BacV5-Otu-000137=correl_spearman	0.000132798713464721	0.000132798713464721	false	NA	Ftrad-Otu-00142->BacV5-Otu-000137=correl_spearman	-0.548623581701993
169972	correl_spearman	NA	mutualExclusion	BacV5-Otu-000212	Ftrad-Otu-00255	BacV5-Otu-000212->Ftrad-Otu-00255=correl_spearman	3.14849821019259e-05	3.14849821019259e-05	false	NA	BacV5-Otu-000212->Ftrad-Otu-00255=correl_spearman	3.148e-05
169975	correl_spearman	NA	copresence	BacV5-Otu-000455	BacV5-Otu-000186	BacV5-Otu-000455->BacV5-Otu-000186=correl_spearman	7.23614204112266e-08	7.23614204112266e-08	false	NA	BacV5-Otu-000455->BacV5-Otu-000186=correl_spearman	0.710878979315113
169978	correl_spearman	NA	copresence	BacV5-Otu-000305	BacV5-Otu-000103	BacV5-Otu-000305->BacV5-Otu-000103=correl_spearman	2.55443187713311e-07	2.55443187713311e-07	false	NA	BacV5-Otu-000305->BacV5-Otu-000103=correl_spearman	0.690496002882906
169981	correl_spearman	NA	mutualExclusion	BacV5-Otu-000624	Otrad-Otu-00001	BacV5-Otu-000624->Otrad-Otu-00001=correl_spearman	1.80283921458191e-06	1.80283921458191e-06	false	NA	BacV5-Otu-000624->Otrad-Otu-00001=correl_spearman	1.8e-06
169984	correl_spearman	NA	copresence	BacV5-Otu-000195	BacV5-Otu-000051	BacV5-Otu-000195->BacV5-Otu-000051=correl_spearman	9.82866255605508e-07	9.82866255605508e-07	false	NA	BacV5-Otu-000195->BacV5-Otu-000051=correl_spearman	0.666303477935518
169986	correl_spearman	NA	copresence	BacV5-Otu-000083	BacV5-Otu-000103	BacV5-Otu-000083->BacV5-Otu-000103=correl_spearman	1.84551839366165e-07	1.84551839366165e-07	false	NA	BacV5-Otu-000083->BacV5-Otu-000103=correl_spearman	1.8e-07
169989	correl_spearman	NA	mutualExclusion	BacV5-Otu-000098	BacV5-Otu-000371	BacV5-Otu-000098->BacV5-Otu-000371=correl_spearman	0.000126817247060762	0.000126817247060762	false	NA	BacV5-Otu-000098->BacV5-Otu-000371=correl_spearman	0.00012682
